0.200 -5.485 7.168 -0.029 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
0.400 -4.222 4.379 -0.024 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
0.600 -6.369 2.730 -0.022 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
0.800 -3.806 1.511 -0.024 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
1.000 -4.309 2.315 -0.029 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
1.200 -2.015 2.276 -0.022 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
1.400 -2.366 1.735 -0.024 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
1.600 -3.380 3.718 -0.024 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
1.800 -4.194 3.404 -0.036 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
2.000 -1.785 2.871 -0.021 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
2.200 -3.644 3.590 -0.020 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
2.400 -0.957 6.005 -0.022 5	500.000 498.000 -500.000 498.000 0.000 1998.000 -1500.000 1498.000 1500.000 1498.000 
2.600 -1.752 12.651 -0.034 5	500.000 494.200 -500.000 494.200 0.000 1994.200 -1500.000 1494.200 1500.000 1494.200 
2.800 0.204 14.760 -0.027 5	500.000 488.780 -500.000 488.780 0.000 1988.780 -1500.000 1488.780 1500.000 1488.780 
3.000 0.014 20.669 -0.021 5	500.000 481.902 -500.000 481.902 0.000 1981.902 -1500.000 1481.902 1500.000 1481.902 
3.200 -1.359 29.949 -0.022 5	500.000 473.712 -500.000 473.712 0.000 1973.712 -1500.000 1473.712 1500.000 1473.712 
3.400 -2.599 38.589 -0.010 5	500.000 464.341 -500.000 464.341 0.000 1964.341 -1500.000 1464.341 1500.000 1464.341 
3.600 -0.341 46.885 -0.022 5	500.000 453.907 -500.000 453.907 0.000 1953.907 -1500.000 1453.907 1500.000 1453.907 
3.800 -0.755 57.547 -0.023 5	500.000 442.516 -500.000 442.516 0.000 1942.516 -1500.000 1442.516 1500.000 1442.516 
4.000 -1.656 71.079 -0.021 5	500.000 430.264 -500.000 430.264 0.000 1930.264 -1500.000 1430.264 1500.000 1430.264 
4.200 -2.138 85.834 -0.023 5	500.000 417.238 -500.000 417.238 0.000 1917.238 -1500.000 1417.238 1500.000 1417.238 
4.400 -2.150 100.158 -0.022 5	500.000 403.514 -500.000 403.514 0.000 1903.514 -1500.000 1403.514 1500.000 1403.514 
4.600 -2.426 114.205 -0.021 5	500.000 389.163 -500.000 389.163 0.000 1889.163 -1500.000 1389.163 1500.000 1389.163 
4.800 -1.621 129.672 -0.022 5	500.000 374.246 -500.000 374.246 0.000 1874.246 -1500.000 1374.246 1500.000 1374.246 
5.000 -3.095 143.245 -0.024 5	500.000 358.822 -500.000 358.822 0.000 1858.822 -1500.000 1358.822 1500.000 1358.822 
5.200 -1.180 159.797 -0.021 5	500.000 342.940 -500.000 342.940 0.000 1842.940 -1500.000 1342.940 1500.000 1342.940 
5.400 0.203 175.623 -0.023 5	500.000 326.646 -500.000 326.646 0.000 1826.646 -1500.000 1326.646 1500.000 1326.646 
5.600 0.761 191.143 -0.022 5	500.000 309.981 -500.000 309.981 0.000 1809.981 -1500.000 1309.981 1500.000 1309.981 
5.800 0.654 207.839 -0.024 5	500.000 292.983 -500.000 292.983 0.000 1792.983 -1500.000 1292.983 1500.000 1292.983 
6.000 0.935 228.084 -0.014 5	500.000 275.685 -500.000 275.685 0.000 1775.685 -1500.000 1275.685 1500.000 1275.685 
6.200 1.088 246.427 -0.017 5	500.000 258.116 -500.000 258.116 0.000 1758.116 -1500.000 1258.116 1500.000 1258.116 
6.400 -1.712 262.569 -0.023 5	500.000 240.305 -500.000 240.305 0.000 1740.305 -1500.000 1240.305 1500.000 1240.305 
6.600 2.103 281.216 -0.035 5	496.748 229.451 -503.149 215.051 -24.800 1722.096 -1517.445 1200.548 1482.244 1243.747 
6.800 3.424 299.207 -0.060 5	491.042 224.168 -508.134 183.571 -69.441 1702.633 -1547.906 1142.150 1449.621 1263.941 
7.000 2.853 316.929 -0.097 5	483.342 223.251 -513.733 146.827 -129.831 1680.652 -1587.233 1067.478 1403.994 1296.750 
